Wins,Losses,Goals_For,Team_Name,Plus_Minus,Goals_Against
44,0.0714285714285714,0.6280991735537188,0,0.75,0.3706293706293707
31,0.2857142857142857,0.5702479338842973,1,0.6470588235294117,0.4685314685314684
46,0.1428571428571428,1.0,7,0.9754901960784312,0.3636363636363635
49,0.0357142857142857,0.5041322314049587,11,0.9362745098039216,0.0
34,0.5714285714285713,0.4132231404958678,10,0.4558823529411764,0.6083916083916082
37,0.5357142857142857,0.4049586776859503,13,0.5784313725490196,0.4265734265734265
31,0.5714285714285713,0.1239669421487602,14,0.392156862745098,0.4545454545454544
46,0.0714285714285714,0.96694214876033,12,1.0,0.3006993006993007
27,0.6071428571428571,0.2727272727272726,16,0.5294117647058822,0.3846153846153847
39,0.2857142857142857,0.4132231404958678,17,0.696078431372549,0.2657342657342657
32,0.3928571428571429,0.4049586776859503,15,0.6176470588235293,0.3706293706293707
25,0.8214285714285713,0.0,19,0.2499999999999999,0.5524475524475524
36,0.3214285714285713,0.6115702479338841,18,0.7352941176470588,0.3776223776223776
33,0.5357142857142857,0.2396694214876033,20,0.5049019607843137,0.3916083916083915
41,0.3928571428571429,0.983471074380165,3,0.7598039215686274,0.6573426573426574
16,1.0,0.1074380165289256,2,0.0,1.0
47,0.0,0.7190082644628096,5,0.8725490196078431,0.2727272727272727
23,0.8571428571428571,0.1487603305785122,6,0.2009803921568627,0.7482517482517482
28,0.7499999999999999,0.1652892561983471,4,0.2254901960784313,0.7272727272727274
37,0.4999999999999999,0.2892561983471072,8,0.5784313725490196,0.3286713286713285
26,0.7499999999999999,0.3057851239669419,9,0.4411764705882352,0.5384615384615387
36,0.3571428571428571,0.3884297520661156,0,0.5539215686274509,0.4475524475524476
31,0.5357142857142857,0.5454545454545455,1,0.5294117647058822,0.6153846153846153
31,0.5357142857142857,0.6033057851239666,7,0.5343137254901961,0.6573426573426574
36,0.2499999999999999,0.2809917355371901,11,0.6813725490196078,0.1748251748251748
44,0.0714285714285714,0.6280991735537188,0,0.75,0.3706293706293707
31,0.2857142857142857,0.5702479338842973,1,0.6470588235294117,0.4685314685314684
46,0.1428571428571428,1.0,7,0.9754901960784312,0.3636363636363635
49,0.0357142857142857,0.5041322314049587,11,0.9362745098039216,0.0
34,0.5714285714285713,0.4132231404958678,10,0.4558823529411764,0.6083916083916082
37,0.5357142857142857,0.4049586776859503,13,0.5784313725490196,0.4265734265734265
31,0.5714285714285713,0.1239669421487602,14,0.392156862745098,0.4545454545454544
46,0.0714285714285714,0.96694214876033,12,1.0,0.3006993006993007
27,0.6071428571428571,0.2727272727272726,16,0.5294117647058822,0.3846153846153847
39,0.2857142857142857,0.4132231404958678,17,0.696078431372549,0.2657342657342657
32,0.3928571428571429,0.4049586776859503,15,0.6176470588235293,0.3706293706293707
