name,price,rating,sale_count
"<span class=""su-styled-text primary default"">Dell Inspiron 15 5565 Laptop AMD A12-9700P, 2.50GHz, 1TB SSD, 12GB RAM, Win 10</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$155.00</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in United States</span>",,"<span class=""su-styled-text primary default"">Dell Inspiron 15 5565 Laptop AMD A12-9700P, 2.50GHz, 1TB SSD, 12GB RAM, Win 10</span> <span class=""su-styled-text secondary default"">Pre-Owned · </span> <span class=""su-styled-text secondary default"">Dell · </span> <span class=""su-styled-text secondary default"">12 GB</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$155.00</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary large"">benbruene </span> <span class=""su-styled-text primary large"">100% positive (49)</span>"
"<span class=""su-styled-text primary default"">Panasonic Let's Note SZ6 CF-SZ6 i5-7300U 8GB RAM 256GB SSD Laptop touch w/ AC</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$131.99</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in Japan</span> <span class=""su-styled-text secondary large"">Free returns</span> <span class=""su-styled-text negative bold large"">Almost gone</span> <span class=""su-styled-text primary bold large"">88 sold</span>",,"<span class=""su-styled-text primary default"">Panasonic Let's Note SZ6 CF-SZ6 i5-7300U 8GB RAM 256GB SSD Laptop touch w/ AC</span> <span class=""su-styled-text secondary default"">Pre-Owned · </span> <span class=""su-styled-text secondary default"">Panasonic · </span> <span class=""su-styled-text secondary default"">256 GB</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$131.99</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in Japan</span> <span class=""su-styled-text secondary large"">Free returns</span> <span class=""su-styled-text negative bold large"">Almost gone</span> <span class=""su-styled-text primary bold large"">88 sold</span> <span class=""su-styled-text primary large"">nakanoyama-jpshop </span> <span class=""su-styled-text primary large"">99% positive (2.6K)</span>"
"<span class=""su-styled-text primary bold default"">DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$143.00</span> <span class=""su-styled-text secondary strikethrough large"">$243.00</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">+$157.50 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">Last one</span> <span class=""su-styled-text primary bold large"">671 sold</span>",,"<span class=""su-styled-text primary bold default"">DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!</span> <span class=""su-styled-text secondary default"">Stop Planned Obsolescence w Zorin OS! 1 Year Warranty!</span> <span class=""su-styled-text secondary default"">Good - Refurbished · </span> <span class=""su-styled-text secondary default"">Dell</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$143.00</span> <span class=""su-styled-text secondary strikethrough large"">$243.00</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">+$157.50 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">Last one</span> <span class=""su-styled-text primary bold large"">671 sold</span> <span class=""su-styled-text primary large"">rinuvo </span> <span class=""su-styled-text primary large"">99.7% positive (12.1K)</span> <span class=""su-styled-text default"">eBay Refurbished</span>"
"<span class=""su-styled-text primary default"">Panasonic let's note CF-SV7RDCVS Intel Core i5 8350U 1.70GHz RAM 8GB SSD 256GB</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$120.77</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in Japan</span> <span class=""su-styled-text secondary large"">Free returns</span> <span class=""su-styled-text negative bold large"">Last one</span> <span class=""su-styled-text primary bold large"">8 sold</span>",,"<span class=""su-styled-text primary default"">Panasonic let's note CF-SV7RDCVS Intel Core i5 8350U 1.70GHz RAM 8GB SSD 256GB</span> <span class=""su-styled-text secondary default"">Pre-Owned · </span> <span class=""su-styled-text secondary default"">Panasonic</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$120.77</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in Japan</span> <span class=""su-styled-text secondary large"">Free returns</span> <span class=""su-styled-text negative bold large"">Last one</span> <span class=""su-styled-text primary bold large"">8 sold</span> <span class=""su-styled-text primary large"">yorozu_japan </span> <span class=""su-styled-text primary large"">99.6% positive (7K)</span>"
"<span class=""su-styled-text primary default"">Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 2TB SSD Win11 Pro</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$279.99</span> <span class=""su-styled-text primary bold default s-card__price""> to </span> <span class=""su-styled-text primary bold large-1 s-card__price"">$917.00</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$193.61 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span>",,"<span class=""su-styled-text primary default"">Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 2TB SSD Win11 Pro</span> <span class=""su-styled-text secondary default"">📦 Fast Shipping ✨ Customize RAM+SSD ⚡️ Plug and Play</span> <span class=""su-styled-text secondary default"">Good - Refurbished</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$279.99</span> <span class=""su-styled-text primary bold default s-card__price""> to </span> <span class=""su-styled-text primary bold large-1 s-card__price"">$917.00</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$193.61 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary large"">aaa_pcs </span> <span class=""su-styled-text primary large"">100% positive (7.3K)</span> <span class=""su-styled-text default"">eBay Refurbished</span>"
"<span class=""su-styled-text primary default"">Dell Latitude 5420 Core i5-1145G7 2.60 GHz 16 GB DDR4 256 GB NVMe Windows 11 Pro</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$214.99</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$250.00 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span>",,"<span class=""su-styled-text primary default"">Dell Latitude 5420 Core i5-1145G7 2.60 GHz 16 GB DDR4 256 GB NVMe Windows 11 Pro</span> <span class=""su-styled-text secondary default"">Pre-Owned · </span> <span class=""su-styled-text secondary default"">Dell</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$214.99</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$250.00 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary large"">harddrivesonly </span> <span class=""su-styled-text primary large"">99.8% positive (32.3K)</span>"
"<span class=""su-styled-text primary default"">HP ProBook 430 G8 Core i7-1165G7 2.80 GHz 16 GB DDR4 512 GB NVMe Windows 11 Pro</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$229.99</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$250.00 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span>",,"<span class=""su-styled-text primary default"">HP ProBook 430 G8 Core i7-1165G7 2.80 GHz 16 GB DDR4 512 GB NVMe Windows 11 Pro</span> <span class=""su-styled-text secondary default"">Pre-Owned · </span> <span class=""su-styled-text secondary default"">HP</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$229.99</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$250.00 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary large"">harddrivesonly </span> <span class=""su-styled-text primary large"">99.8% positive (32.3K)</span>"
"<span class=""su-styled-text primary default"">Acer CB315-4H-C7A1 15.6"" FHD Celeron N4500 1.1GHz Intel UHD Graphics 4GB RAM...</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$100.00</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$187.82 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span>",,"<span class=""su-styled-text primary default"">Acer CB315-4H-C7A1 15.6"" FHD Celeron N4500 1.1GHz Intel UHD Graphics 4GB RAM...</span> <span class=""su-styled-text secondary default"">Open Box · </span> <span class=""su-styled-text secondary default"">Acer · </span> <span class=""su-styled-text secondary default"">128 GB</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$100.00</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$187.82 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary large"">justwhatuwant2buy </span> <span class=""su-styled-text primary large"">100% positive (89)</span>"
"<span class=""su-styled-text primary default"">CHEAP FAST Windows 11 Laptop 15.6+7inch Dual Screen 16GB Ram 1TB SSD Notebooks</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$425.00</span> <span class=""su-styled-text secondary strikethrough large"">$850.00</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$20.00 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">33+ watchers</span>",,"<span class=""su-styled-text primary default"">CHEAP FAST Windows 11 Laptop 15.6+7inch Dual Screen 16GB Ram 1TB SSD Notebooks</span> <span class=""su-styled-text secondary default"">Brand New</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$425.00</span> <span class=""su-styled-text secondary strikethrough large"">$850.00</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$20.00 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">33+ watchers</span> <span class=""su-styled-text primary large"">lumos-store </span> <span class=""su-styled-text primary large"">81.8% positive (7)</span>"
"<span class=""su-styled-text primary default"">HP Elitebook 840 G7  i7-10510U 1.8GHz 16 GB RAM 512 GB SSD Laptop</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$249.99</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">+$204.74 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">374 sold</span>",,"<span class=""su-styled-text primary default"">HP Elitebook 840 G7  i7-10510U 1.8GHz 16 GB RAM 512 GB SSD Laptop</span> <span class=""su-styled-text secondary default"">Pre-Owned · </span> <span class=""su-styled-text secondary default"">HP · </span> <span class=""su-styled-text secondary default"">512 GB</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$249.99</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">+$204.74 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">374 sold</span> <span class=""su-styled-text primary large"">luckywolf29 </span> <span class=""su-styled-text primary large"">99.8% positive (53.1K)</span>"
