id,adult,title,video,overview,softcore,genre_ids,popularity,vote_count,poster_path,release_date,vote_average,backdrop_path,original_title,original_language
497,False,The Green Mile,False,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",False,"[14, 18, 80]",31.7553,19254,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,1999-12-10,8.506,/b6HWTOxn1xevvyHU2K9ICvaRU6g.jpg,The Green Mile,en
1181678,False,¿Quieres ser mi hijo?,False,"Lu, a conformist woman in her forties, learns that her 15-year partner has been having extramarital affairs. Starting from scratch, she gets involved in an unexpected relationship with a young womanizer.",False,"[35, 10749]",14.0788,347,/9GuvODahvuFqdhuZ16aBLR4UJoP.jpg,2023-09-21,8.497,/xyWKrni8WrYzqn7ztvI5nIY0h62.jpg,¿Quieres ser mi hijo?,en
122,False,The Lord of the Rings: The Return of the King,False,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",False,"[12, 14, 28]",36.6936,26536,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,2003-12-17,8.498,/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg,The Lord of the Rings: The Return of the King,en
496243,False,Parasite,False,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",False,"[35, 53, 18]",38.7041,20626,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019-05-30,8.494,/TU9NIjwzjoKPwQHoHshkFcQUCG.jpg,기생충,ko
680,False,Pulp Fiction,False,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",False,"[53, 80, 35]",36.352,30195,/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,1994-09-10,8.484,/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg,Pulp Fiction,en
372058,False,Your Name.,False,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",False,"[16, 10749, 18]",30.4337,12556,/q719jXXEzOoYaps6babgKnONONX.jpg,2016-08-26,8.479,/8x9iKH8kWA0zdkgNdpAew7OstYe.jpg,君の名は。,ja
157336,False,Interstellar,False,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,False,"[12, 18, 878]",78.7304,39815,/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg,2014-11-05,8.475,/2ssWTSVklAEc98frZUQhgtGHx7s.jpg,Interstellar,en
429,False,"The Good, the Bad and the Ugly",False,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",False,[37],21.4717,9628,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,1966-12-23,8.47,/Adrip2Jqzw56KeuV2nAxucKMNXA.jpg,"Il buono, il brutto, il cattivo",it
13,False,Forrest Gump,False,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",False,"[35, 18, 10749]",31.4936,29743,/Cw4hIUIAmSYfK9QfaUW5igp9La.jpg,1994-06-23,8.465,/66Kn4XWhkuPkJxOJyPEx4U2CUfN.jpg,Forrest Gump,en
769,False,GoodFellas,False,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",False,"[18, 80]",24.7435,14338,/9OkCLM73MIU2CrKZbqiT8Ln1wY2.jpg,1990-09-12,8.453,/gILte6Zd7m1YneIr6MVhh30S9pr.jpg,GoodFellas,en
