id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.240376,8891269397,15,10811499572,358059895.0,0.246669,0.23789,-0.003685977315654981,-1.51026,-143200762.34979248,-1.58505,37007551099.9152,45000000000.0,45000000000.0,3.09,-92.21306,2021-09-02T06:00:10.474Z,0.01925275,1148.52831,2020-03-13T02:22:55.044Z,,2026-05-27T12:41:49.444Z,,,
rain,rain,Rain,https://coin-images.coingecko.com/coins/images/69134/large/Rain_logo_1_.png?1762952191,0.01313846,8180602466,16,15107677689,45549380.0,0.01330006,0.00799503,0.0051185,63.82203,4340784218.0,113.04661,622648401266.6013,1149887358482.804,1150000000000.0,0.01330006,-1.32728,2026-05-27T10:05:45.601Z,0.00222126,490.81495,2025-09-14T08:56:57.416Z,,2026-05-27T12:41:57.618Z,,,
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,397.54,7332046518,17,7332046518,151702020.0,399.21,376.2,6.44,1.64645,114278304.0,1.58329,18446744.07370955,18446744.07370955,,797.73,-50.16649,2026-01-14T19:34:07.049Z,0.216177,183795.54022,2015-01-14T00:00:00.000Z,,2026-05-27T12:41:48.613Z,,,
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,344.13,6896610065,18,6896620819,109086873.0,353.89,340.36,-9.424044010809212,-2.66549,-194659580.31272125,-2.74506,20039949.89665078,20039981.14665078,21000000.0,3785.82,-90.90994,2017-12-20T00:00:00.000Z,76.93,347.30509,2018-12-16T00:00:00.000Z,,2026-05-27T12:41:49.294Z,,,
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,9.43,6853730923,19,9426119106,275966524.0,9.66,9.31,-0.12569899126762074,-1.31556,-91463467.73134518,-1.31693,727099970.4255477,1000000000.0,1000000000.0,52.7,-82.1067,2021-05-10T00:13:57.214Z,0.148183,6263.17776,2017-11-29T00:00:00.000Z,,2026-05-27T12:41:49.329Z,,,
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,55.76,6602521378,20,16411233022,68183229.0,57.41,55.34,-0.9360220109728843,-1.65086,-110812508.04460907,-1.65063,118403267.0,294303266.0,400000000.0,64.11,-13.01407,2025-12-10T20:16:13.582Z,3.06,1721.31119,2023-02-13T19:01:21.899Z,,2026-05-27T12:41:54.908Z,,,
canton-network,cc,Canton,https://coin-images.coingecko.com/coins/images/70468/large/Canton-Ticker_%281%29.png?1762826299,0.158449,6122294957,21,6122294957,8129386.0,0.163267,0.156248,-0.004355644577747425,-2.67538,-162350578.86387444,-2.58329,38638842003.36731,38638842003.36731,,0.194152,-17.9237,2026-02-03T08:02:08.411Z,0.059024,169.97893,2025-12-06T10:32:09.784Z,,2026-05-27T12:41:58.093Z,,,
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,1.9,5109791273,22,9829955753,334765196.0,2.03,1.88,-0.019239912383481883,-1.00471,-48527519.30017567,-0.94076,2696240601.929365,5186890109.035878,,8.25,-77.03849,2024-06-15T00:36:51.509Z,0.519364,264.89892,2021-09-21T00:33:11.092Z,,2026-05-27T12:41:54.420Z,,,
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.150972,5054899519,23,7533079513,97261587.0,0.15083,0.146156,0.00137513,0.91923,33211590.0,0.66136,33552547507.57407,50001786839.91458,,0.875563,-82.79127,2018-01-03T00:00:00.000Z,0.00047612,31545.8476,2015-03-05T00:00:00.000Z,,2026-05-27T12:41:43.981Z,,,
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.997933,4754438629,24,4754438629,1378648311.0,0.998905,0.99772,-0.000559323131584466,-0.05602,-5091922.353632927,-0.10698,4764402940.520212,4764402940.520212,,1.025,-2.62419,2025-05-12T12:36:39.412Z,0.989633,0.83868,2025-10-01T08:51:32.103Z,,2026-05-27T12:41:47.975Z,,,
