damage,alignment,num_units,street_no,crash_hour,crash_type,crash_month,report_type,road_defect,street_name,hit_and_run_i,injuries_fatal,injuries_total,work_zone_type,trafficway_type,device_condition,first_crash_type,injuries_unknown,street_direction,crash_day_of_week,weather_condition,beat_of_occurrence,lighting_condition,most_severe_injury,posted_speed_limit,roadway_surface_cond,injuries_no_indication,intersection_related_i,sec_contributory_cause,traffic_control_device,injuries_incapacitating,prim_contributory_cause,injuries_non_incapacitating,injuries_reported_not_evident
2,2,2.0,3,1,1,6,2,5,600,1,0.0,0.0,,10,2,15,0.0,3,3,1,1653,1,2,10,0,5.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,1,15,1,5,2,1,512,1,0.0,0.0,,12,2,7,0.0,3,6,5,1654,5,2,10,0,1.0,1,24,3,0.0,33,0.0,0.0
1,2,2.0,3,23,1,6,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,7,1,1653,1,2,15,0,3.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,9759,22,0,6,2,1,372,1,0.0,1.0,,10,1,10,0.0,3,6,1,1654,1,3,45,0,4.0,1,31,5,0.0,17,1.0,0.0
1,4,2.0,3932,7,1,6,2,1,272,1,0.0,0.0,,10,2,7,0.0,3,5,1,1122,4,2,30,0,5.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,2800,0,1,6,1,5,380,1,0.0,0.0,,8,2,7,0.0,1,5,10,1412,5,2,35,4,1.0,1,31,3,0.0,33,0.0,0.0
0,3,2.0,840,7,1,6,1,1,304,1,0.0,0.0,,12,2,7,0.0,0,3,1,1834,5,2,10,0,1.0,1,24,3,0.0,33,0.0,0.0
2,3,2.0,9500,19,1,7,2,5,157,1,0.0,0.0,,6,5,10,0.0,2,2,1,2213,5,2,30,0,3.0,1,24,15,0.0,19,0.0,0.0
0,3,2.0,516,14,1,5,2,1,501,1,0.0,0.0,,11,2,7,0.0,3,6,2,1654,3,2,30,0,1.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,7198,17,1,7,2,1,126,1,0.0,0.0,,8,2,15,0.0,3,5,1,811,3,2,35,0,2.0,1,24,3,0.0,33,0.0,0.0
2,3,2.0,8700,3,1,5,2,1,201,1,0.0,0.0,,10,2,10,0.0,2,1,1,412,0,2,5,0,2.0,1,31,3,0.0,17,0.0,0.0
2,3,2.0,1,10,0,6,2,1,512,1,0.0,1.0,,12,2,0,0.0,3,4,2,1654,3,4,20,0,1.0,1,10,3,0.0,18,0.0,1.0
1,3,2.0,500,15,1,6,1,1,555,1,0.0,0.0,,15,1,16,0.0,2,4,1,1134,3,2,30,0,3.0,1,21,14,0.0,24,0.0,0.0
2,3,2.0,1,18,1,6,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,6,1,1651,3,2,25,0,2.0,1,24,3,0.0,12,0.0,0.0
1,3,2.0,5902,13,0,6,2,1,631,1,0.0,2.0,,10,1,10,0.0,2,3,1,232,3,3,30,0,1.0,1,25,3,0.0,26,1.0,1.0
2,3,2.0,1,23,1,6,2,1,461,1,0.0,0.0,,11,2,11,0.0,2,7,1,813,1,2,15,0,2.0,1,8,3,0.0,21,0.0,0.0
0,3,2.0,6259,18,0,7,1,1,394,1,0.0,1.0,,12,2,9,0.0,2,2,1,331,3,3,10,0,1.0,1,24,3,0.0,21,1.0,0.0
2,1,1.0,438,14,0,6,2,1,501,1,0.0,1.0,,10,2,2,0.0,3,5,1,1654,3,1,30,0,0.0,1,26,3,1.0,27,0.0,0.0
2,3,2.0,517,15,1,5,1,1,501,1,0.0,0.0,,8,2,7,0.0,3,2,1,1654,3,2,20,0,1.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,3,17,1,5,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,2,1,1653,3,2,30,0,2.0,1,31,3,0.0,33,0.0,0.0
1,3,2.0,1,16,0,7,2,1,600,1,0.0,1.0,,10,2,9,0.0,3,5,1,1651,3,3,20,0,1.0,1,24,15,0.0,33,1.0,0.0
2,3,2.0,505,11,1,6,1,1,555,1,0.0,0.0,,2,1,15,0.0,2,2,1,1135,3,2,30,0,2.0,1,31,14,0.0,12,0.0,0.0
1,3,2.0,3134,18,1,7,2,1,75,1,0.0,0.0,,10,2,10,0.0,3,2,1,823,3,2,30,0,4.0,1,24,3,0.0,21,0.0,0.0
1,3,2.0,1820,23,1,6,2,1,165,1,0.0,0.0,,8,1,5,0.0,0,1,1,331,1,2,30,0,1.0,1,24,9,0.0,33,0.0,0.0
2,3,2.0,517,18,1,7,2,1,501,1,0.0,0.0,,12,2,7,0.0,3,4,1,1654,3,2,10,0,1.0,1,31,3,0.0,12,0.0,0.0
2,3,2.0,815,8,1,6,2,1,135,1,0.0,0.0,,8,2,0,0.0,2,5,1,1513,2,2,35,0,3.0,1,24,3,0.0,18,0.0,0.0
2,3,2.0,8200,17,1,5,2,1,201,1,0.0,0.0,,3,2,15,0.0,2,5,1,414,3,2,55,0,2.0,1,24,3,0.0,22,0.0,0.0
1,3,2.0,5,19,1,7,2,1,600,1,0.0,0.0,,10,2,7,0.0,3,1,1,1655,3,2,30,0,1.0,1,24,5,0.0,25,0.0,0.0
2,3,2.0,400,18,1,7,1,5,432,1,0.0,0.0,,2,5,10,0.0,1,1,6,1834,3,2,30,5,4.0,1,31,15,0.0,19,0.0,0.0
2,3,2.0,524,13,1,6,2,1,501,1,0.0,0.0,,12,2,0,0.0,3,6,2,1654,3,2,25,5,2.0,1,31,3,0.0,33,0.0,0.0
2,3,1.0,8915,10,1,5,2,1,161,1,0.0,0.0,,0,5,5,0.0,2,2,1,413,4,2,30,0,1.0,1,24,3,0.0,33,0.0,0.0
0,3,2.0,6299,11,1,6,1,1,394,1,0.0,0.0,,8,1,10,0.0,2,7,1,331,3,2,30,0,2.0,1,24,14,0.0,33,0.0,0.0
0,3,2.0,6021,13,1,2,1,5,544,1,0.0,0.0,,8,5,10,0.0,1,4,10,2433,5,2,30,4,2.0,1,31,15,0.0,33,0.0,0.0
2,3,2.0,6700,12,1,1,2,2,538,1,0.0,0.0,,6,1,0,0.0,2,4,9,724,3,2,30,3,3.0,1,34,14,0.0,36,0.0,0.0
2,3,2.0,10000,17,1,1,1,1,143,1,0.0,0.0,,12,1,16,0.0,3,6,1,1654,4,2,15,0,2.0,1,16,13,0.0,24,0.0,0.0
2,3,2.0,1,21,1,2,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,5,1,1651,1,2,10,0,2.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,3,7,1,1,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,7,1,1653,3,2,25,0,2.0,1,10,3,0.0,18,0.0,0.0
2,3,2.0,5500,13,1,6,1,5,631,1,0.0,0.0,,8,1,15,0.0,2,1,1,225,3,2,30,4,2.0,1,21,14,0.0,18,0.0,0.0
1,3,2.0,3,15,1,6,2,1,600,1,0.0,0.0,,11,2,15,0.0,3,2,1,1653,3,2,15,0,3.0,1,24,3,0.0,25,0.0,0.0
2,3,1.0,8758,20,0,6,2,1,201,1,0.0,0.0,,11,1,2,0.0,2,7,1,412,3,2,10,0,1.0,1,10,5,0.0,17,0.0,0.0
0,3,2.0,630,20,1,7,2,1,501,1,0.0,0.0,,12,2,5,0.0,3,5,1,1654,4,2,15,0,1.0,1,24,3,0.0,12,0.0,0.0
1,3,2.0,3,14,1,6,1,5,600,1,0.0,0.0,CONSTRUCTION,11,2,0,0.0,3,3,1,1653,3,2,20,0,2.0,1,15,3,0.0,18,0.0,0.0
1,3,2.0,1,16,1,7,2,5,515,1,0.0,0.0,,12,2,13,0.0,3,4,1,1654,3,2,15,0,2.0,1,24,3,0.0,33,0.0,0.0
1,3,2.0,5900,14,1,7,1,5,631,1,0.0,0.0,,17,1,16,0.0,2,1,1,232,3,2,35,0,2.0,1,31,14,0.0,24,0.0,0.0
2,3,2.0,517,7,1,7,2,1,501,1,0.0,0.0,,8,2,7,0.0,3,5,1,1654,3,2,10,0,1.0,1,31,3,0.0,35,0.0,0.0
0,3,2.0,1,16,1,6,2,1,600,1,0.0,0.0,,11,2,14,0.0,3,4,1,1651,3,2,20,0,2.0,1,24,3,0.0,25,0.0,0.0
2,3,2.0,1,11,1,5,2,1,514,1,0.0,0.0,,12,2,7,0.0,3,1,1,1654,3,2,20,0,1.0,1,10,3,0.0,19,0.0,0.0
2,3,2.0,1,12,1,7,2,1,327,1,0.0,0.0,,8,1,0,0.0,3,1,6,1654,3,2,10,5,2.0,1,31,14,0.0,36,0.0,0.0
2,3,2.0,11,16,1,6,1,1,155,1,0.0,0.0,,8,1,10,0.0,1,2,1,1654,3,2,30,0,6.0,1,24,14,0.0,33,0.0,0.0
2,3,1.0,1,17,1,6,1,5,512,1,0.0,0.0,,12,2,2,0.0,3,7,1,1654,3,2,15,0,1.0,1,31,3,0.0,33,0.0,0.0
1,3,2.0,6299,22,1,7,1,1,394,1,0.0,0.0,,8,2,0,0.0,2,3,1,331,0,2,30,0,2.0,1,31,3,0.0,33,0.0,0.0
0,3,2.0,3,13,1,6,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,6,1,1653,3,2,20,0,2.0,1,24,3,0.0,33,0.0,0.0
1,3,2.0,6259,13,1,7,2,1,647,1,0.0,0.0,,6,1,10,0.0,2,5,1,711,3,2,30,0,2.0,1,31,14,0.0,6,0.0,0.0
2,4,2.0,215,18,1,6,2,1,285,1,0.0,0.0,,13,1,10,0.0,1,4,1,114,3,2,10,0,3.0,1,24,6,0.0,17,0.0,0.0
2,3,2.0,5700,12,1,7,2,1,631,1,0.0,0.0,,10,1,16,0.0,2,7,1,232,3,2,30,0,2.0,1,22,14,0.0,24,0.0,0.0
2,3,2.0,891,0,1,6,2,1,501,1,0.0,0.0,,12,2,7,0.0,3,4,1,1654,0,2,15,0,1.0,1,24,3,0.0,33,0.0,0.0
2,3,2.0,4102,10,1,7,1,1,257,1,0.0,0.0,,10,2,7,0.0,2,5,1,213,3,2,30,0,1.0,1,24,3,0.0,33,0.0,0.0
2,3,2.0,6299,22,1,6,1,5,394,0,0.0,0.0,,12,2,7,0.0,2,1,10,331,0,2,5,4,1.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,3,21,1,7,2,5,600,1,0.0,0.0,CONSTRUCTION,10,2,15,0.0,3,3,1,1653,1,2,20,0,6.0,1,24,3,0.0,26,0.0,0.0
2,3,2.0,3,12,1,6,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,6,1,1653,3,2,20,0,2.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,516,16,1,6,2,5,501,1,0.0,0.0,,12,2,15,0.0,3,2,1,1654,3,2,10,0,2.0,1,31,3,0.0,19,0.0,0.0
0,3,2.0,3,22,1,7,2,1,600,1,0.0,0.0,CONSTRUCTION,10,2,15,0.0,3,1,1,1653,1,2,20,0,2.0,1,31,3,0.0,23,0.0,0.0
0,3,2.0,1,0,1,8,2,1,512,1,0.0,0.0,,12,2,7,0.0,3,2,1,1654,0,2,10,0,1.0,1,31,3,0.0,22,0.0,0.0
1,3,2.0,800,15,1,6,1,1,501,1,0.0,0.0,,12,2,10,0.0,3,3,1,1654,3,2,15,0,2.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,6299,5,0,7,2,1,394,1,0.0,1.0,,15,1,16,0.0,2,1,1,331,2,1,55,0,1.0,1,24,14,1.0,25,0.0,0.0
2,3,2.0,6299,12,0,7,1,1,394,1,0.0,2.0,,6,1,10,0.0,2,1,1,331,3,3,30,0,1.0,1,24,14,0.0,33,2.0,0.0
2,3,2.0,499,16,0,7,2,5,432,1,0.0,0.0,,3,1,0,0.0,1,7,6,1834,3,2,30,5,2.0,1,24,14,0.0,25,0.0,0.0
2,3,2.0,6256,20,0,7,1,1,394,1,0.0,1.0,,8,1,10,0.0,2,3,1,331,1,3,45,0,1.0,1,24,14,0.0,12,1.0,0.0
2,3,2.0,98,20,1,6,1,1,348,1,0.0,0.0,,11,2,10,0.0,3,2,1,1654,4,2,30,5,2.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,5251,18,1,8,2,5,223,1,0.0,0.0,,8,5,0,0.0,2,1,1,234,3,2,30,0,2.0,1,24,3,0.0,17,0.0,0.0
2,3,2.0,598,15,1,6,2,1,215,1,0.0,0.0,,8,1,16,0.0,1,6,1,1834,3,2,30,5,3.0,1,16,14,0.0,24,0.0,0.0
2,3,2.0,4240,19,1,7,2,1,257,1,0.0,0.0,,2,2,10,0.0,2,6,1,213,4,2,35,0,2.0,1,10,3,0.0,19,0.0,0.0
2,3,2.0,6259,1,0,7,2,1,394,1,0.0,0.0,,3,1,16,0.0,2,7,1,331,1,2,30,0,2.0,1,24,14,0.0,32,0.0,0.0
2,3,3.0,2198,0,0,6,2,1,282,1,0.0,1.0,,10,2,7,0.0,3,5,1,2424,1,3,25,0,2.0,1,31,3,0.0,33,1.0,0.0
2,5,2.0,299,10,0,7,1,1,577,1,0.0,1.0,,13,1,16,0.0,0,7,1,114,3,4,30,0,2.0,1,24,14,0.0,24,0.0,1.0
2,3,2.0,3,6,1,7,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,2,1,1653,3,2,25,0,2.0,1,31,3,0.0,33,0.0,0.0
1,3,2.0,5542,19,1,6,1,1,335,1,0.0,0.0,,0,2,0,0.0,2,7,6,822,4,2,20,0,3.0,1,24,3,0.0,25,0.0,0.0
2,4,3.0,9800,1,0,7,2,1,372,1,0.0,0.0,MAINTENANCE,3,2,10,0.0,3,5,1,1654,1,2,45,0,3.0,1,31,3,0.0,19,0.0,0.0
2,3,2.0,174,9,1,7,2,1,155,1,0.0,0.0,,3,2,10,0.0,1,7,1,1654,3,2,30,0,2.0,1,24,3,0.0,19,0.0,0.0
2,3,2.0,3,10,1,7,2,1,600,1,0.0,0.0,,11,2,15,0.0,3,5,2,1653,3,2,20,0,2.0,1,24,3,0.0,33,0.0,0.0
2,4,2.0,1,16,0,7,1,5,515,1,0.0,1.0,,12,2,9,0.0,3,6,1,1654,3,1,5,0,1.0,1,24,3,1.0,25,0.0,0.0
1,3,1.0,6299,7,1,6,2,1,394,1,0.0,0.0,,3,1,2,0.0,2,6,1,331,3,2,45,0,1.0,1,24,14,0.0,33,0.0,0.0
1,3,2.0,8931,17,1,7,1,1,200,1,0.0,0.0,,11,2,11,0.0,2,6,1,423,3,2,60,0,2.0,1,31,3,0.0,33,0.0,0.0
0,3,2.0,342,21,1,6,1,5,429,1,0.0,0.0,,3,1,10,0.0,1,7,1,114,1,2,30,0,2.0,1,31,14,0.0,19,0.0,0.0
2,3,2.0,1,15,1,6,2,1,514,1,0.0,0.0,,12,5,7,0.0,3,5,1,1654,3,2,20,0,1.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,1750,13,0,7,2,1,178,1,0.0,0.0,,8,2,15,0.0,2,3,1,1022,3,2,30,0,2.0,1,31,3,0.0,18,0.0,0.0
2,3,2.0,8900,15,0,1,2,1,201,1,0.0,1.0,,11,1,10,0.0,2,1,1,423,3,4,45,0,1.0,1,17,5,0.0,19,0.0,1.0
2,3,4.0,4619,23,1,10,2,1,257,1,0.0,0.0,,10,2,7,0.0,2,4,6,221,0,2,35,5,1.0,1,24,3,0.0,25,0.0,0.0
2,3,2.0,5,12,0,1,2,1,600,1,0.0,0.0,,11,2,10,0.0,3,4,1,1655,3,2,30,0,2.0,1,24,3,0.0,19,0.0,0.0
2,3,2.0,10909,19,1,1,2,1,331,1,0.0,0.0,,10,2,16,0.0,3,6,1,1654,1,2,30,0,2.0,1,31,3,0.0,12,0.0,0.0
2,3,2.0,524,15,1,1,2,1,501,1,0.0,0.0,,6,1,16,0.0,3,2,1,1654,4,2,30,5,2.0,1,31,14,0.0,12,0.0,0.0
1,3,2.0,3,17,1,7,2,1,600,1,0.0,0.0,,11,2,7,0.0,3,1,1,1653,3,2,15,0,1.0,1,31,3,0.0,18,0.0,0.0
1,3,2.0,632,15,1,6,2,1,501,1,0.0,0.0,,12,2,7,0.0,3,6,6,1654,3,2,10,5,1.0,1,31,3,0.0,12,0.0,0.0
2,0,1.0,6901,14,0,6,2,1,200,1,0.0,0.0,,3,2,2,0.0,2,4,6,322,3,2,55,5,1.0,1,31,3,0.0,36,0.0,0.0
0,3,2.0,5,17,1,7,2,1,600,1,0.0,0.0,,12,2,10,0.0,3,1,1,1655,3,2,15,0,6.0,1,24,3,0.0,27,0.0,0.0
2,3,1.0,1,7,0,7,2,1,512,1,0.0,0.0,,12,1,2,0.0,3,6,1,1654,3,2,30,0,1.0,1,31,1,0.0,33,0.0,0.0
2,3,2.0,3,22,1,7,2,1,600,1,0.0,0.0,,10,4,15,0.0,3,6,1,1653,1,2,15,0,2.0,1,31,5,0.0,22,0.0,0.0
1,3,2.0,4659,7,1,7,1,1,629,1,0.0,0.0,,10,1,10,0.0,2,1,6,925,3,2,30,5,2.0,1,24,14,0.0,33,0.0,0.0
2,3,2.0,517,17,1,7,2,1,501,1,0.0,0.0,,12,2,7,0.0,3,6,2,1654,3,2,30,0,1.0,1,31,3,0.0,33,0.0,0.0
2,2,2.0,2,10,1,6,2,1,600,1,0.0,0.0,,10,2,7,0.0,3,6,6,1652,3,2,20,5,1.0,1,31,3,0.0,9,0.0,0.0
1,0,2.0,1,22,1,7,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,7,1,1651,1,2,25,0,3.0,1,24,3,0.0,22,0.0,0.0
1,3,2.0,616,11,1,7,2,1,501,1,0.0,0.0,,12,2,10,0.0,3,6,2,1654,3,2,15,0,2.0,1,31,3,0.0,33,0.0,0.0
1,3,2.0,8801,17,1,6,2,1,200,1,0.0,0.0,,3,2,15,0.0,2,6,1,423,3,2,15,0,2.0,1,24,3,0.0,33,0.0,0.0
2,3,2.0,515,13,0,8,2,1,501,1,0.0,0.0,,8,2,16,0.0,3,5,1,1654,3,2,20,0,2.0,1,24,3,0.0,33,0.0,0.0
2,2,2.0,3,11,1,7,1,1,600,1,0.0,0.0,,11,1,10,0.0,3,4,1,1653,3,2,25,0,3.0,1,20,16,0.0,10,0.0,0.0
2,3,2.0,5500,17,1,6,1,5,631,1,0.0,0.0,,8,5,15,0.0,2,3,1,225,3,2,30,0,2.0,1,31,14,0.0,33,0.0,0.0
2,3,2.0,410,13,1,7,2,1,501,1,0.0,0.0,,12,2,7,0.0,3,2,1,1651,3,2,15,0,1.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,516,10,1,7,2,1,501,1,0.0,0.0,,15,2,16,0.0,3,1,1,1654,3,2,15,0,2.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,517,20,1,7,1,5,501,1,0.0,0.0,,10,2,15,0.0,3,6,1,1654,3,2,30,0,2.0,1,31,3,0.0,22,0.0,0.0
1,3,2.0,1,20,1,6,2,1,512,1,0.0,0.0,,12,2,7,0.0,3,1,1,1654,3,2,15,0,1.0,1,24,3,0.0,12,0.0,0.0
2,3,1.0,2425,20,1,7,2,1,83,1,0.0,0.0,,12,2,2,0.0,0,2,1,334,4,2,10,0,2.0,1,24,3,0.0,33,0.0,0.0
1,3,2.0,630,13,1,7,2,1,501,1,0.0,0.0,,12,2,12,0.0,3,1,1,1654,3,2,15,0,2.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,2,7,1,6,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,6,6,1652,3,2,15,5,2.0,1,24,3,0.0,33,0.0,0.0
2,3,2.0,5700,11,0,10,2,1,631,1,0.0,2.0,,6,1,0,0.0,2,1,2,232,3,3,30,0,2.0,1,24,14,0.0,6,2.0,0.0
0,3,2.0,3,21,1,6,1,5,600,1,0.0,0.0,CONSTRUCTION,10,2,10,0.0,3,6,1,1653,1,2,20,0,2.0,1,24,3,0.0,19,0.0,0.0
0,3,1.0,1055,19,1,8,2,5,535,1,0.0,0.0,,11,2,1,0.0,3,3,1,2432,3,2,30,0,1.0,1,24,3,0.0,33,0.0,0.0
2,3,2.0,1,21,1,6,2,1,514,1,0.0,0.0,,12,2,7,0.0,3,1,1,1654,1,2,10,0,1.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,4747,10,1,6,2,5,257,1,0.0,0.0,,10,2,7,0.0,2,1,10,223,5,2,30,0,1.0,1,24,3,0.0,33,0.0,0.0
2,3,2.0,517,17,0,7,2,1,501,1,0.0,0.0,,12,2,11,0.0,3,2,1,1654,3,2,15,0,3.0,1,24,3,0.0,21,0.0,0.0
2,3,2.0,12809,9,0,7,2,1,355,1,0.0,0.0,,3,1,10,0.0,3,4,1,1654,3,2,40,0,2.0,1,24,14,0.0,33,0.0,0.0
1,3,2.0,5,19,1,8,2,1,600,1,0.0,0.0,,12,2,10,0.0,3,1,1,1655,3,2,10,0,5.0,1,24,3,0.0,19,0.0,0.0
1,3,2.0,1701,12,1,7,2,1,45,1,0.0,0.0,,4,2,7,0.0,3,4,1,912,3,2,30,0,1.0,1,24,3,0.0,25,0.0,0.0
2,3,2.0,2545,20,0,7,2,1,83,1,0.0,1.0,,6,1,8,0.0,0,6,1,334,3,3,30,0,1.0,1,24,3,0.0,1,1.0,0.0
2,3,2.0,5900,1,0,7,2,1,631,1,0.0,0.0,,6,1,3,0.0,2,7,1,232,1,2,35,4,2.0,1,24,1,0.0,33,0.0,0.0
2,3,2.0,5,15,1,7,1,1,600,1,0.0,0.0,,10,2,11,0.0,3,5,1,1655,3,2,30,0,2.0,1,24,3,0.0,21,0.0,0.0
2,3,2.0,514,15,1,7,2,5,501,1,0.0,0.0,,12,2,15,0.0,3,4,1,1654,3,2,10,0,2.0,1,31,3,0.0,19,0.0,0.0
1,3,2.0,8900,15,0,7,2,1,214,1,0.0,1.0,,8,1,8,0.0,2,3,1,423,3,4,30,0,1.0,1,31,14,0.0,33,0.0,1.0
2,3,2.0,474,15,0,7,2,1,432,1,0.0,0.0,,6,1,0,0.0,1,5,1,1834,3,2,30,0,2.0,1,16,14,0.0,6,0.0,0.0
2,3,2.0,12600,15,1,7,1,1,355,1,0.0,0.0,,3,1,15,0.0,3,4,1,1654,3,2,35,0,2.0,1,24,14,0.0,23,0.0,0.0
2,3,2.0,903,12,0,7,1,1,501,1,0.0,1.0,,2,1,10,0.0,3,4,1,1654,3,3,30,0,2.0,1,24,14,0.0,19,1.0,0.0
1,2,2.0,3,6,1,7,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,6,1,1653,3,2,30,0,2.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,5900,2,1,8,1,1,631,1,0.0,0.0,,2,1,10,0.0,2,1,1,232,1,2,30,0,2.0,1,24,14,0.0,19,0.0,0.0
2,3,2.0,5500,19,0,8,1,5,631,1,0.0,1.0,,2,0,15,0.0,2,4,1,225,1,3,30,0,1.0,1,31,14,0.0,33,1.0,0.0
1,3,2.0,2142,14,1,7,2,1,446,1,0.0,0.0,,10,2,11,0.0,1,6,1,2515,3,2,25,0,2.0,1,24,3,0.0,21,0.0,0.0
1,3,2.0,5,13,1,8,2,1,600,1,0.0,0.0,,11,2,7,0.0,3,4,1,1655,3,2,15,0,1.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,1,17,1,8,2,1,515,1,0.0,0.0,,12,2,15,0.0,3,1,2,1654,3,2,10,0,3.0,1,31,3,0.0,12,0.0,0.0
2,3,2.0,514,19,1,7,2,5,501,1,0.0,0.0,,12,2,15,0.0,3,3,1,1654,3,2,10,0,2.0,1,31,3,0.0,19,0.0,0.0
0,3,1.0,4300,17,1,7,2,1,398,1,0.0,0.0,,8,5,2,0.0,3,5,1,1114,3,2,30,0,1.0,1,31,5,0.0,33,0.0,0.0
2,3,2.0,6700,16,1,8,1,1,201,1,0.0,0.0,,13,2,15,0.0,2,3,1,322,3,2,35,0,2.0,1,31,3,0.0,17,0.0,0.0
2,3,2.0,989,11,1,8,1,5,462,1,0.0,0.0,,15,1,16,0.0,1,2,1,1833,3,2,30,0,2.0,1,31,13,0.0,24,0.0,0.0
2,3,3.0,10700,11,1,8,2,1,331,1,0.0,0.0,,8,1,10,0.0,3,2,1,1654,3,2,30,0,3.0,1,31,14,0.0,33,0.0,0.0
2,3,2.0,540,14,1,7,1,6,209,1,0.0,0.0,,10,1,10,0.0,1,5,1,1214,3,2,30,0,2.0,1,24,14,0.0,33,0.0,0.0
2,3,2.0,6256,15,1,7,1,1,394,1,0.0,0.0,,8,1,10,0.0,2,5,1,331,3,2,45,0,2.0,1,24,14,0.0,19,0.0,0.0
2,3,2.0,1,10,1,8,2,1,515,1,0.0,0.0,,12,2,0,0.0,3,6,1,1654,3,2,15,0,2.0,1,31,3,0.0,18,0.0,0.0
1,3,2.0,1,21,1,8,2,1,600,1,0.0,0.0,,11,2,15,0.0,3,3,1,1651,1,2,20,0,2.0,1,22,3,0.0,24,0.0,0.0
2,3,2.0,4331,14,1,7,1,1,442,1,0.0,0.0,,2,1,10,0.0,1,6,1,1654,3,2,35,0,2.0,1,24,14,0.0,17,0.0,0.0
1,2,1.0,700,3,0,8,2,1,501,1,0.0,1.0,,8,2,2,0.0,3,4,1,1654,1,4,25,0,0.0,1,24,3,0.0,27,0.0,1.0
2,3,3.0,1759,2,0,8,2,1,537,1,0.0,0.0,,2,2,7,0.0,2,7,1,1014,1,2,30,0,1.0,1,32,3,0.0,34,0.0,0.0
2,3,2.0,15,13,1,7,2,1,155,1,0.0,0.0,,10,2,10,0.0,1,4,1,1654,3,2,35,0,2.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,1799,7,0,8,2,1,67,1,0.0,0.0,,3,1,16,0.0,0,1,1,331,3,2,35,0,3.0,1,31,14,0.0,18,0.0,0.0
1,3,2.0,1,17,1,7,2,1,515,1,0.0,0.0,,12,2,12,0.0,3,2,1,1654,3,2,15,0,2.0,1,19,3,0.0,21,0.0,0.0
2,3,2.0,4340,21,0,8,2,1,442,1,0.0,2.0,,2,1,10,0.0,1,5,1,1654,1,3,35,0,1.0,1,31,14,0.0,19,2.0,0.0
1,3,2.0,1,7,1,8,2,1,251,1,0.0,0.0,,10,2,7,0.0,2,5,1,813,3,2,10,0,1.0,1,17,5,0.0,19,0.0,0.0
0,3,2.0,3,12,0,7,2,1,600,1,0.0,1.0,,10,2,9,0.0,3,5,1,1653,3,4,20,0,2.0,1,16,3,0.0,26,0.0,1.0
2,3,2.0,6299,21,1,7,2,1,394,1,0.0,0.0,,12,1,10,0.0,2,7,1,331,1,2,15,0,2.0,1,31,14,0.0,6,0.0,0.0
2,3,1.0,8500,2,0,8,2,6,201,1,0.0,0.0,,3,2,2,0.0,2,1,1,412,1,2,55,0,1.0,1,24,3,0.0,33,0.0,0.0
0,3,2.0,1,19,1,7,2,1,518,1,0.0,0.0,,12,2,7,0.0,3,6,10,1654,5,2,20,4,1.0,1,24,3,0.0,33,0.0,0.0
1,4,3.0,833,22,1,7,2,1,501,1,0.0,0.0,,8,2,2,0.0,3,7,1,1654,1,2,30,0,1.0,1,22,3,0.0,24,0.0,0.0
1,3,2.0,1,11,1,8,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,2,1,1651,3,2,20,0,2.0,1,16,3,0.0,18,0.0,0.0
2,3,2.0,3800,23,0,8,2,1,0,1,0.0,0.0,,8,1,6,0.0,0,7,1,432,1,2,30,0,2.0,1,17,10,0.0,23,0.0,0.0
1,3,2.0,5,11,1,8,2,1,600,1,0.0,0.0,,12,2,2,0.0,3,3,1,1655,3,2,15,0,1.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,3,6,1,7,2,1,600,0,0.0,0.0,,10,2,15,0.0,3,5,6,1653,3,2,15,5,2.0,1,31,3,0.0,8,0.0,0.0
2,3,2.0,514,8,1,7,2,1,501,1,0.0,0.0,,12,2,7,0.0,3,7,1,1654,3,2,15,0,1.0,1,24,3,0.0,35,0.0,0.0
