price,address,bedrooms,per_month
"$779,000","400 E Randolph St #2613 , Chicago, IL 60601",2.0,"$6,318 per month"
"$234,900","7050 N Damen Ave Unit 3S , Chicago, IL 60645",2.0,"$1,860 per month"
"$675,000","950 W Monroe St #804 , Chicago, IL 60607",2.0,"$5,611 per month"
"$290,000","1400 S Michigan Ave #1006 , Chicago, IL 60605",1.0,"$2,492 per month"
"$690,000","4727 N Newcastle Ave , Harwood Heights, IL 60706",5.0,"$4,426 per month"
"$1,050,000","4819 W Cornelia Ave , Chicago, IL 60641",13.0,"$6,986 per month"
"$124,900","8845 S Carpenter St , Chicago, IL 60620",4.0,$772 per month
"$589,900","5910 N Northwest Hwy #5910 , Chicago, IL 60631",3.0,"$4,245 per month"
"$345,000","5859 N Glenwood Ave Unit G , Chicago, IL 60660",2.0,"$2,507 per month"
"$186,000","8136 S Manistee Ave , Chicago, IL 60617",5.0,"$1,170 per month"
"$319,900","8042 S Bennett Ave , Chicago, IL 60617",5.0,"$1,893 per month"
"$299,900","9919 S Peoria St , Chicago, IL 60643",3.0,"$1,918 per month"
"$550,000","4508 S Avers Ave , Chicago, IL 60632",7.0,"$3,385 per month"
"$350,000","949 N Willard Ct #203 , Chicago, IL 60642",2.0,"$2,820 per month"
"$75,000","7337 S South Shore Dr #726 , Chicago, IL 60649",1.0,"$1,090 per month"
"$699,000","312 N May St Unit 4D , Chicago, IL 60607",2.0,"$5,308 per month"
"$330,000","6422 S Komensky Ave , Chicago, IL 60629",3.0,"$2,096 per month"
"$399,900","3141 N Nagle Ave , Chicago, IL 60634",3.0,"$2,581 per month"
"$159,900","12400 S Lowe Ave , Chicago, IL 60628",3.0,$985 per month
"$699,000","1762 W Morse Ave , Chicago, IL 60626",5.0,"$3,934 per month"
"$700,000","1158 W Armitage Ave #206 , Chicago, IL 60614",2.0,"$5,381 per month"
"$949,900","3056 N Lincoln Ave #3 , Chicago, IL 60657",3.0,"$6,735 per month"
"$229,900","10504 S Lafayette Ave , Chicago, IL 60628",4.0,"$1,315 per month"
"$739,900","1410 E 48th St , Chicago, IL 60615",4.0,"$5,105 per month"
"$339,000","8243 S Wabash Ave , Chicago, IL 60619",5.0,"$2,065 per month"
"$374,999","907 N Leamington Ave , Chicago, IL 60651",4.0,"$2,253 per month"
"$324,900","3734 W 107th St , Chicago, IL 60655",2.0,"$2,172 per month"
"$720,000","4114 S Ellis Ave , Chicago, IL 60653",5.0,"$5,028 per month"
"$139,000","8129 S Cornell Ave , Chicago, IL 60617",2.0,$864 per month
"$599,900","5364 N Latrobe Ave , Chicago, IL 60630",5.0,"$3,626 per month"
