wins,losses,goals_for,team_name,goals_against,goal_difference
0.660377358490566,0.2166666666666667,0.7244094488188976,1,0.4983277591973244,0.6794117647058823
0.41509433962264153,0.31666666666666665,0.6968503937007874,2,0.5451505016722408,0.6176470588235293
0.6981132075471698,0.25,0.9015748031496064,3,0.49498327759197325,0.8147058823529412
0.7547169811320755,0.19999999999999998,0.6653543307086615,5,0.3210702341137124,0.7911764705882353
0.4716981132075472,0.44999999999999996,0.6220472440944883,9,0.6120401337792643,0.5029411764705882
0.5283018867924528,0.43333333333333335,0.6181102362204723,10,0.5250836120401338,0.5764705882352941
0.41509433962264153,0.44999999999999996,0.48425196850393704,12,0.5384615384615384,0.46470588235294114
0.6981132075471698,0.2166666666666667,0.8858267716535434,13,0.46488294314381273,0.8294117647058823
0.339622641509434,0.4666666666666667,0.5551181102362205,15,0.5050167224080268,0.5470588235294117
0.5660377358490566,0.31666666666666665,0.6220472440944883,17,0.4481605351170569,0.6470588235294117
0.4339622641509434,0.3666666666666667,0.6181102362204723,19,0.4983277591973244,0.6
0.30188679245283023,0.5666666666666667,0.4251968503937008,20,0.5852842809364549,0.37941176470588234
0.5094339622641509,0.33333333333333326,0.7165354330708661,21,0.5016722408026756,0.6705882352941176
0.4528301886792453,0.43333333333333335,0.5393700787401575,23,0.5083612040133779,0.5323529411764706
0.6037735849056604,0.3666666666666667,0.8937007874015749,25,0.6354515050167224,0.6852941176470588
0.1320754716981132,0.65,0.47637795275590555,26,0.7993311036789297,0.22941176470588232
0.7169811320754716,0.18333333333333332,0.767716535433071,28,0.45150501672240806,0.7529411764705882
0.26415094339622636,0.5833333333333333,0.49606299212598426,30,0.6789297658862876,0.35
0.3584905660377359,0.5333333333333333,0.5039370078740157,31,0.6688963210702341,0.3647058823529411
0.5283018867924528,0.41666666666666663,0.562992125984252,32,0.4782608695652174,0.5764705882352941
0.3207547169811321,0.5333333333333333,0.5708661417322834,33,0.5785953177257526,0.4941176470588235
0.5094339622641509,0.35,0.6102362204724409,1,0.5351170568561873,0.5617647058823529
0.41509433962264153,0.43333333333333335,0.6850393700787402,2,0.6153846153846154,0.5470588235294117
0.41509433962264153,0.43333333333333335,0.7125984251968503,3,0.6354515050167224,0.5499999999999999
0.5094339622641509,0.30000000000000004,0.5590551181102362,5,0.4046822742474917,0.638235294117647
0.6415094339622641,0.23333333333333336,0.8070866141732284,9,0.47157190635451507,0.7647058823529411
0.5094339622641509,0.3833333333333333,0.7086614173228346,10,0.6086956521739131,0.5705882352941176
0.3207547169811321,0.5,0.5196850393700787,12,0.5618729096989967,0.4705882352941176
0.49056603773584906,0.33333333333333326,0.6771653543307087,13,0.6053511705685619,0.5499999999999999
0.4339622641509434,0.5166666666666666,0.515748031496063,15,0.5451505016722408,0.48235294117647054
0.6037735849056604,0.2833333333333333,0.5984251968503936,17,0.3076923076923077,0.7529411764705882
0.5471698113207547,0.33333333333333326,0.6850393700787402,19,0.4816053511705686,0.6647058823529411
0.4716981132075472,0.4,0.6929133858267716,20,0.6153846153846154,0.5529411764705882
0.7735849056603774,0.23333333333333336,0.8110236220472441,21,0.4381270903010034,0.7970588235294117
0.4339622641509434,0.43333333333333335,0.5393700787401575,23,0.5284280936454849,0.5147058823529411
0.5660377358490566,0.35,0.8976377952755906,25,0.6454849498327759,0.6794117647058823
0.20754716981132074,0.6166666666666667,0.5511811023622047,26,0.6789297658862876,0.39117647058823524
0.1509433962264151,0.7833333333333333,0.40944881889763785,27,0.8160535117056857,0.16470588235294115
0.5094339622641509,0.3666666666666667,0.6456692913385828,28,0.5050167224080268,0.6147058823529411
0.39622641509433965,0.5333333333333333,0.46850393700787407,30,0.5986622073578596,0.39999999999999997
0.6226415094339622,0.25,0.6692913385826772,31,0.45150501672240806,0.6794117647058823
0.6792452830188679,0.2666666666666667,0.8464566929133858,32,0.5351170568561873,0.738235294117647
0.4528301886792453,0.35,0.5354330708661418,33,0.43143812709030105,0.5970588235294118
0.7924528301886793,0.25,0.8543307086614172,1,0.5117056856187291,0.7647058823529411
0.5471698113207547,0.41666666666666663,0.8661417322834645,2,0.6086956521739131,0.6882352941176471
0.6415094339622641,0.31666666666666665,0.8149606299212598,3,0.5585284280936456,0.6941176470588235
0.7169811320754716,0.23333333333333336,0.6456692913385828,5,0.3846153846153846,0.7205882352941175
0.7169811320754716,0.2833333333333333,1.0,9,0.5518394648829431,0.838235294117647
0.3207547169811321,0.65,0.5,10,0.7424749163879598,0.2970588235294117
0.3207547169811321,0.6833333333333333,0.6653543307086615,12,0.8494983277591974,0.32647058823529407
0.5660377358490566,0.4,0.8779527559055119,13,0.7525083612040133,0.5705882352941176
0.5094339622641509,0.44999999999999996,0.6181102362204723,15,0.5953177257525084,0.5147058823529411
0.7358490566037736,0.31666666666666665,0.8307086614173228,17,0.5518394648829431,0.7117647058823529
0.5849056603773585,0.43333333333333335,0.7598425196850395,19,0.6153846153846154,0.6029411764705882
0.5849056603773585,0.43333333333333335,0.8661417322834645,20,0.6086956521739131,0.6882352941176471
0.4716981132075472,0.4666666666666667,0.7440944881889765,21,0.6454849498327759,0.5647058823529412
0.018867924528301883,0.9833333333333334,0.34251968503937014,22,0.9364548494983278,0.008823529411764675
0.5094339622641509,0.43333333333333335,0.8031496062992126,23,0.6822742474916388,0.5764705882352941
