rank,change,country,un_region,un_subregion,population_2022,population_2023
Country or territory Population (1 July 2022) Population (1 July 2023) Change (%),,,,,,
,−0.62%,Bosnia and Herzegovina,Europe,Southern Europe,"3,204,802","3,185,073"
,+0.89%,Moldova q,Europe,Eastern Europe,"3,039,985","3,067,070"
,+2.99%,Qatar,Asia,Western Asia,"2,892,455","2,979,082"
,+2.54%,Namibia,Africa,Southern Africa,"2,889,662","2,963,095"
,+2.17%,Armenia,Asia,Western Asia,"2,880,874","2,943,393"
,+1.32%,Lithuania,Europe,Northern Europe,"2,816,919","2,854,099"
,+0.02%,Jamaica,Americas,Caribbean,"2,839,144","2,839,786"
,−0.56%,Albania,Europe,Southern Europe,"2,827,608","2,811,655"
,+2.33%,Gambia,Africa,Western Africa,"2,636,470","2,697,845"
,+2.22%,Gabon,Africa,Middle Africa,"2,430,747","2,484,789"
,+1.65%,Botswana,Africa,Southern Africa,"2,439,892","2,480,244"
,+1.11%,Lesotho,Africa,Southern Africa,"2,286,110","2,311,472"
,+2.27%,Guinea-Bissau,Africa,Western Africa,"2,105,529","2,153,339"
,+0.15%,Slovenia,Europe,Southern Europe,"2,115,228","2,118,396"
,+0.07%,Latvia,Europe,Northern Europe,"1,881,063","1,882,396"
,+2.44%,Equatorial Guinea,Africa,Middle Africa,"1,803,545","1,847,549"
,−0.46%,North Macedonia,Europe,Southern Europe,"1,840,233","1,831,802"
,−1.04%,Kosovo r,Europe,Southern Europe,"1,717,946","1,700,031"
,+2.36%,Bahrain,Asia,Western Asia,"1,533,459","1,569,666"
,+0.47%,Trinidad and Tobago,Americas,Caribbean,"1,495,921","1,502,932"
,+1.09%,Timor-Leste,Asia,South-eastern Asia,"1,369,295","1,384,286"
,+1.27%,Estonia,Europe,Northern Europe,"1,350,091","1,367,196"
,+1.02%,Cyprus s,Asia,Western Asia,"1,331,370","1,344,976"
,−0.20%,Mauritius,Africa,Eastern Africa,"1,276,130","1,273,588"
,+0.95%,Eswatini,Africa,Southern Africa,"1,218,917","1,230,506"
,+1.39%,Djibouti,Africa,Eastern Africa,"1,137,096","1,152,944"
,+0.51%,Fiji,Oceania,Melanesia,"919,422","924,145"
,+0.38%,Réunion France,Africa,Eastern Africa,"871,540","874,883"
,+1.94%,Comoros,Africa,Eastern Africa,"834,188","850,387"
,+0.57%,Guyana,Americas,South America,"821,637","826,353"
,+2.42%,Solomon Islands,Oceania,Melanesia,"781,066","800,005"
,+0.70%,Bhutan,Asia,Southern Asia,"780,914","786,385"
,+1.36%,Macao China t,Asia,Eastern Asia,"704,356","713,912"
,+1.80%,Luxembourg,Europe,Western Europe,"653,313","665,098"
